source,target,type
79,13608,"link"
79,13588,"link"
79,13591,"link"
79,13594,"link"
79,13596,"link"
79,13599,"link"
79,13643,"link"
79,13615,"link"
79,14869,"link"
79,13642,"link"
79,13621,"link"
79,13623,"link"
79,13625,"link"
79,14874,"link"
79,14848,"link"
79,14844,"link"
79,13617,"link"
79,14876,"link"
79,14847,"link"
79,14912,"link"
79,14846,"link"
79,14907,"link"
79,14880,"link"
79,17723,"link"
79,17732,"link"
79,17737,"link"
79,17744,"link"
79,17743,"link"
79,14402,"link"
79,17726,"link"
79,17729,"link"
79,17712,"link"
79,14884,"link"
79,17745,"link"
79,17735,"link"
79,17750,"link"
79,17752,"link"
79,17755,"link"
79,17759,"link"
79,17747,"link"
79,17778,"link"
79,17768,"link"
79,17771,"link"
79,17777,"link"
79,15770,"link"
79,17776,"link"
79,16793,"link"
79,17758,"link"
79,2762,"link"
79,3160,"link"
79,14910,"link"
79,14881,"link"
79,2759,"link"
79,2769,"link"
79,13898,"link"
79,2763,"link"
79,2766,"link"
79,2767,"link"
79,4342,"link"
79,2981,"link"
79,3241,"link"
79,13897,"link"
79,3209,"link"
79,17381,"link"
79,3093,"link"
79,17870,"link"
79,3098,"link"
79,3192,"link"
79,4264,"link"
79,12487,"link"
79,11445,"link"
79,2919,"link"
79,4095,"link"
79,3065,"link"
79,5607,"link"
79,10619,"link"
79,7867,"link"
79,3153,"link"
79,3268,"link"
79,9834,"link"
79,12531,"link"
79,9624,"link"
79,11763,"link"
79,5052,"link"
79,7554,"link"
79,10518,"link"
79,5244,"link"
79,11146,"link"
79,11105,"link"
79,11226,"link"
79,12095,"link"
79,7567,"link"
79,9162,"link"
79,6905,"link"
79,3927,"link"
79,9026,"link"
79,9320,"link"
79,5490,"link"
79,12626,"link"
79,9237,"link"
79,8270,"link"
79,5540,"link"
79,4782,"link"
79,8580,"link"
79,4512,"link"
79,12337,"link"
79,8546,"link"
79,8408,"link"
79,9901,"link"
79,10311,"link"
79,7801,"link"
79,7709,"link"
79,6554,"link"
79,11062,"link"
79,6724,"link"
79,10686,"link"
79,5893,"link"
79,6326,"link"
79,11523,"link"
79,4628,"link"
79,7094,"link"
79,4854,"link"
79,9662,"link"
79,11481,"link"
79,12417,"link"
79,6760,"link"
79,7327,"link"
79,4796,"link"
79,4856,"link"
79,4858,"link"
79,4838,"link"
79,4839,"link"
79,13402,"link"
79,13398,"link"
79,7898,"link"
79,7911,"link"
79,9071,"link"
79,7922,"link"
79,6204,"link"
79,4617,"link"
79,4624,"link"
79,4621,"link"
80,6790,"link"
80,6228,"link"
80,6232,"link"
80,6233,"link"
80,6234,"link"
80,3052,"link"
80,3062,"link"
80,4626,"link"
80,6237,"link"
80,6236,"link"
80,17887,"link"
80,17675,"link"
80,17505,"link"
80,10195,"link"
80,7480,"link"
80,17777,"link"
80,6322,"link"
80,7922,"link"
80,15064,"link"
80,15038,"link"
80,15191,"link"
80,13374,"link"
80,17388,"link"
80,16819,"link"
80,16816,"link"
80,16763,"link"
80,16745,"link"
80,17429,"link"
80,16108,"link"
80,15049,"link"
80,18451,"link"
